"소요산","경기도 동두천시 상봉암동 126","031-865-7788",,,,"양쪽","없음","바깥","오른쪽","연결안됨","없음",,,"NULL","101:동두천",,,,,"37.9474677263227","127.060758246326",,
"동두천","경기도 동두천시 동두천동 245","031-862-7788",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"100:소요산","102:보산",,,,,"37.9277948245039","127.054592798416",,
"보산","경기도 동두천시 보산동 422","031-866-4987",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"101:동두천","103:동두천중앙",,,,,"37.9142734015052","127.057153907815",,
"동두천중앙","경기도 동두천시 생연2동 688","031-865-2788",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"102:보산","104:지행",,,,,"37.9015527263295","127.056201650034",,
"지행","경기도 동두천시 지행동","031-862-2788",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"103:동두천중앙","105:덕정",,,,,"37.8924654061443","127.055544391222",,
"덕정","경기도 양주시 덕정동","031-858-2788",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"104:지행","106:덕계",,,,,"37.8432194072812","127.06153464703",,
"덕계","경기도 양주시 덕계동 267-1","031-866-6792",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"105:덕정","107:양주",,,,,"37.8187725299928","127.056698590209",,
"양주","경기도 양주시 남방동 1번지","031-843-2968",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"106:덕계","108:녹양",,,,,"37.7739685930236","127.044803678417",,
"녹양","경기도 의정부시 녹양동","031-828-3380",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"107:양주","110:가능",,,,,"37.7590820336735","127.042361908008",,
"가능","경기도 의정부시 가능동 205-23","031-842-7788",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"108:녹양","111:의정부",,,,,"37.7486455673215","127.044255061777",,
"의정부","경기도 의정부시 의정부2동 168","031-872-7788",,,,"중앙","없음","바깥","왼쪽","연결됨","없음",,,"110:가능","112:회룡",,,,,"37.7383882220315","127.046020553663",,
"회룡","경기도 의정부시 호원동","031-872-7744",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"111:의정부","113:망월사",,,,,"37.7240365784296","127.047338754155",,
"망월사","경기도 의정부시 호원동","031-873-7788",,,,"중앙","없음","안쪽","왼쪽","연결됨","없음",,,"112:회룡","114:도봉산",,,,,"37.7105034957304","127.047375686134",,
"도봉산","서울특별시 도봉구 도봉동 363번지","02-955-7345",,,,"양쪽","없음","바깥","왼쪽","연결됨","없음",,,"113:망월사","115:도봉",,,,,"37.6895981231397","127.046066757752",,
"도봉","서울특별시 도봉구 도봉2동 89-159","02-954-1348",,,,"양쪽","없음","안쪽","왼쪽","연결됨","없음",,,"114:도봉산","116:방학",,,,,"37.6794482747823","127.045539019658",,
